"BIN"	"name"
"140440030122"	"Товарищество с ограниченной ответственностью ""АТА-ЮРТ.KZ"""
"140440032793"	"Товарищество с ограниченной ответственностью ""Zeromax Engineering"""
"140640002213"	"Товарищество с ограниченной ответственностью ""Дастархан Бота"""
"140640003340"	"Товарищество с ограниченной ответственностью ""Azia Агро"""
"140640012677"	"Товарищество с ограниченной ответственностью ""KazGluten Co"""
"140740019638"	"Товарищество с ограниченной ответственностью ""TechnoTron"""
"140840001956"	"Товарищество с ограниченной ответственностью ""POLI PANEL int"""
"140840018782"	"Товарищество с ограниченной ответственностью ""Ертай Компани"""
"140940008174"	"Товарищество с ограниченной ответственностью ""СК ""Авант"""
"140940017450"	"Товарищество с ограниченной ответственностью ""ASK Agro"""
"141040001563"	"Товарищество с ограниченной ответственностью ""Стальконмонтажстрой"""
"141240018763"	"Товарищество с ограниченной ответственностью ""ПАНТЕОН АЗИЯ"""
"150140019777"	"Товарищество с ограниченной ответственностью ""Интеко Групп КЗ"""
"150440009979"	"Товарищество с ограниченной ответственностью ""ДОР-ТРК"""
"150540010143"	"Товарищество с ограниченной ответственностью ""Алим KZ"""
"150740008199"	"Товарищество с ограниченной ответственностью ""ГАН Строй Ltd"""
"151040012184"	"Товарищество с ограниченной ответственностью ""ZHUSS HOLDING"""
"151140020091"	"Товарищество с ограниченной ответственностью ""ISA COMPANY 2015"""
"151140020119"	"Товарищество с ограниченной ответственностью ""ХАН КЗ 2015"""
"160340023378"	"Товарищество с ограниченной ответственностью ""Астана Инстрой"""
"410305400228"	""
"420209300281"	"к/х Жомарт"
"430207350070"	""
"430615300964"	""
"440702400261"	""
"460417350206"	"ИП ""Петрунин Ю.Т."""
"470709400989"	""
"480915301625"	"к/х ""Зарина"""
"490608301093"	"К/Х ""Мухтархан"""
"490905300981"	"ИП Досаев Сандыбай Абдугапарулы"
"510111400343"	""
"520210300298"	""
"520526400252"	""
"520829000086"	""
"521104350459"	""
"530602400851"	""
"540223450502"	""
"550816300119"	"крестьянское хозяйство Алтын-омир"
"560127300274"	"ИП ЖУСУБАЛИН К.М."
"561029300264"	"ИП БУШУЕВ А.В."
"561213450396"	""
"570114450288"	""
"580825300517"	""
"581027350223"	""
"590618350186"	""
"590901450844"	""
"600129400102"	"ИП НЫГЫМЕТОВА НУРГУЛ АКАНОВНА"
"600204300579"	""
"600417350118"	"ИП ""Серкеш"""
"601001350258"	"ИП ХАМЗИН"
"601101350330"	""
"610110350180"	""
"610209401147"	""
"610509000164"	""
"611003450376"	"ИП АБУТАЛИПОВА Б.А."
"611118450301"	""
"620225350198"	""
"620311401133"	""
"620405350077"	""
"620611300823"	"К/Х  АрАй"
"620819450123"	""
"620905400749"	""
"630326300410"	"ИП""Калашников Ю.А"""
"640116300380"	""
"640412350376"	""
"640602350160"	""
"650216400878"	""
"650220000110"	""
"650221350449"	""
"650527350155"	""
"660326000179"	""
"660412000225"	""
"660526301202"	""
"661007350251"	""
"661104000124"	""
"670413302081"	""
"670417350369"	""
"670516350278"	""
"670622350482"	""
"671022450330"	""
"680422401039"	""
"680626350109"	"ИП КУСАИНОВ САПАРГАЛИ КЫДЫРМАНОВИЧ"
"681219401256"	""
"681229400728"	""
"690106302557"	"К.Х"
"690108350520"	"ИП ШАЛЕСНЫЙ А.А."
"690412350662"	""
"690626450553"	"ИП ПЛАТОНОВА С.А."
"700313302659"	""
"700824350131"	"ИП  Шогалов Т.Ш."
"701015450271"	""
"711212350397"	"ИП СОЛОНСКИЙ А.В."
"711215300169"	"ИП Кошелев Андрей Николаевич"
"720305400748"	"ИП АМАНОВА Ж.К."
"720607400723"	""
"721113350330"	"ИП КУЛАТАЕВ"
"721118302625"	"ИП РАЗДАН А."
"730222450438"	""
"730223304136"	"К/Х"
"731120350390"	""
"740114300559"	""
"740308350609"	"ИП ""ДАВИД"""
"740410350574"	"ИП МАКИШЕВ М.С."
"740715350067"	""
"741220350316"	""
"750204350467"	"ИП Крушинский Евгений Александрович"
"750316301160"	""
"750322350499"	""
"750910301209"	"ИП КУРАКБАЕВ ЗЕЙНИГАБДИН МУХАМЕДСАПАРОВИЧ"
"751001300102"	"К/Х ""Акан-Астык"""
"751109350403"	""
"751214350553"	""
"760115350089"	""
"760705450558"	""
"761202301412"	""
"770105301404"	""
"770712300406"	""
"771220350391"	"ИП Завада Н.В."
"771227000304"	""
"780101350650"	""
"780201302129"	"ИП ""КАСЫМБЕК"""
"780219300636"	""
"780302402213"	""
"780704350123"	""
"780817302495"	""
"790201302567"	"ИП Секеров С.Б."
"790205401983"	""
"800805300905"	""
"800830450429"	""
"800922350165"	"ИП Войнов Денис Васильевич"
"810423350580"	""
"810521350701"	""
"811129450670"	""
"820113450947"	""
"820814350325"	""
"820819350169"	"ИП МОИСЕЕНКО А.В."
"821011450036"	""
"830408350897"	"Фабрика окон"
"830519301042"	"КХ Мади"
"830530350645"	"ИП Левчук А.А."
"830920450611"	"ИП ОМАРОВА АЙТЖАМАЛ ЖАНБЫРБАЕВНА"
"831009399073"	"ИП КОСТЫЛЕВ"
"831017351240"	""
"841014450749"	""
"841016350506"	""
"841020450603"	"ИП Касымова Д.М."
"850129451376"	""
"860314451521"	""
"860522350984"	""
"860617351760"	""
"860704351268"	""
"860909450766"	"ИП БИСЕБЕКОВА К К"
"870123351559"	"ИП ""ОЮ"""
"870215300356"	""
"870216351148"	""
"870507351090"	""
"870616450041"	""
"880221351236"	"ИП ""ВИТКОВСКИЙ А.Ю,"""
"880531350888"	""
"881112450501"	""
"890118350963"	""
"890204351324"	""
"890924351389"	"ИП Беспаев А.Т."
"891108450769"	""
"900212451943"	""
"900220351019"	""
"900301350754"	""
"910219450023"	""
"911018350047"	""
"911020350989"	""
"911217350396"	""
"920728451556"	""
"930908450377"	""
"940724450490"	""
"950740001377"	"Кооператив собственников квартир ""Автомобилист"""
"961140000183"	"Товарищество с ограниченной ответственностью ""Экспресс"""
"961140001914"	"Товарищество с ограниченной ответственностью ""Стройдормашсервис"""
"970140006479"	"Кооператив собственников квартир ""Прогресс"""
"970141016967"	"Филиал ""Алекон-Кокшетау""  ООО ""Алекон"""
"970141020519"	"филиал ""Кокшетауское монтажное управление"" товарищества с ограниченной ответственностью ""Севсантехмонтаж"""
